method,deletion_fraction,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.6428571428571429,0.35285714285714281,0.89571428571428569,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.48571428571428577,0.17710714285714285,0.79714285714285715,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.70895448460587251,0.66516826109463723,0.7541429594551794,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,5.5881699177016255,4.1290271672282879,7.0369823343697044,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.5,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,250.69545932005161,196.3451500174379,309.24946492493882,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,54.527142857142856,16.944285714285712,105.35142857142857,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.15867545156044033,0.11917978434961715,0.20197183808305305,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3391698596135977,0.83363433664740583,1.8651895571948356,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2876344565765348,0.26677870933306058,0.31191177898578148,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.56571428571428573,0.26999999999999996,0.83578571428571313,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.62,0.31571428571428573,0.87285714285714289,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.43000000000000005,0.18714285714285714,0.68714285714285706,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.66721936725833864,0.61935100983147917,0.71531919823746504,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_double_logistic,0.5,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,5.972338994354959,4.5797346025269183,7.3868521000662346,7,7,700,0,700,0,14,29,0.062780269058295798,0.099601593625498003,20,117,13,27
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,177.80226715686572,125.8774102852298,249.03936503638005,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,47.441428571428574,5.0485714285714289,100.19857142857143,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10769814544256888,0.081593562336909939,0.1412108471086701,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0314877624175789,0.56571390914411701,1.5654311450172747,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22783728017712684,0.19184956009793611,0.25933473508853394,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.58857142857142863,0.27142857142857141,0.88285714285714278,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.73142857142857132,0.41142857142857142,0.99142857142857133,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.45428571428571424,0.16857142857142857,0.75857142857142856,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.8214465883227281,0.79135490883234527,0.85391074608304141,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.10000000000000001,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,4.8097275982943666,3.4299679882519136,6.3293790174746487,7,7,700,0,700,0,24,51,0.1076233183856502,0.1713147410358565,15,60,3,5
timesat_smoothing_spline,0.20000000000000001,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,181.13128775983066,130.00979313830049,253.42304930796331,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_smoothing_spline,0.20000000000000001,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,42.445714285714288,6.3142857142857149,90.359999999999999,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_smoothing_spline,0.20000000000000001,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10998075206585836,0.084565246719387879,0.14387161808261326,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
