year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2025,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2019,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.81495958543044633,0.80413417212455873,0.010825413305887599,0.010825413305887599
2020,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.93002296267654316,0.84071496839268411,0.089307994283859049,0.089307994283859049
2021,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.96737469747612137,0.90868446935674241,0.058690228119378962,0.058690228119378962
2022,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.83677017904988671,0.82420883673090861,0.012561342318978097,0.012561342318978097
2023,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.88501244765435394,0.85485623348592377,0.030156214168430173,0.030156214168430173
2024,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84725500956820921,0.8181046954775465,0.02915031409066271,0.02915031409066271
2025,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76585398338162125,0.76095943091070184,0.004894552470919411,0.004894552470919411
2019,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,7.5084680958257044,7.4793352445698353,0.029132851255869063,-0.029132851255869063
2020,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,3.0314414740322202,4.000494412727134,-0.96905293869491382,0.96905293869491382
2021,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,2.0445830875213504,3.034276331608103,-0.98969324408675252,0.98969324408675252
2022,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,4.6350671027018713,4.7041679610539289,-0.069100858352057593,0.069100858352057593
2023,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,1.8347420987909149,2.1035961649433146,-0.26885406615239971,0.26885406615239971
2024,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,3.4494627554158876,3.6996815332100943,-0.25021877779420665,0.25021877779420665
2025,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,7.9678487741828974,8.0253819526450929,-0.057533178462195522,0.057533178462195522
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,363.45422468674087,544.4316727329483,-180.97744804620743,180.97744804620743
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,132.23792701935554,6.2204850313642055,126.01744198799133,-126.01744198799133
